state,district,resource_name,period,allocated,utilized
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2025-09,30,28
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2025-10,32,31
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2025-11,35,33
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2025-12,38,36
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-01,39,38
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-02,42,40
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-03,43,41
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-04,46,43
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-05,48,45
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-06,50,47
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-07,52,48
maharashtra,mumbai_city,Aadhaar Enrollment Kits,2026-08,55,50
maharashtra,mumbai_city,Biometric Iris Scanners,2025-09,110,105
maharashtra,mumbai_city,Biometric Iris Scanners,2025-10,115,110
maharashtra,mumbai_city,Biometric Iris Scanners,2025-11,118,114
maharashtra,mumbai_city,Biometric Iris Scanners,2025-12,124,120
maharashtra,mumbai_city,Biometric Iris Scanners,2026-01,126,121
maharashtra,mumbai_city,Biometric Iris Scanners,2026-02,132,125
maharashtra,mumbai_city,Biometric Iris Scanners,2026-03,135,130
maharashtra,mumbai_city,Biometric Iris Scanners,2026-04,140,134
maharashtra,mumbai_city,Biometric Iris Scanners,2026-05,145,138
maharashtra,mumbai_city,Biometric Iris Scanners,2026-06,148,141
maharashtra,mumbai_city,Biometric Iris Scanners,2026-07,151,143
maharashtra,mumbai_city,Biometric Iris Scanners,2026-08,156,148
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2025-09,10,8
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2025-10,9,7
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2025-11,8,6
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2025-12,9,6
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-01,8,5
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-02,8,5
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-03,10,4
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-04,12,3
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-05,7,2
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-06,6,1
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-07,5,1
karnataka,bengaluru_urban,Aadhaar Enrollment Kits,2026-08,4,1
